snt_id,sdr,sdr_i,si-snr,si-snr_i
1089-134686-0035_5683-32866-0010.wav,22.889278411865234,22.6712589263916,22.139427185058594,22.45054054260254
1089-134686-0036_6930-75918-0008.wav,13.358440399169922,13.191307067871094,11.823205947875977,11.777504920959473
1089-134686-0037_2094-142345-0001.wav,11.366047859191895,11.237741470336914,11.007612228393555,11.029254913330078
1089-134686-0037_4446-2271-0000.wav,20.64567756652832,20.284135818481445,20.135400772094727,20.172611236572266
1089-134691-0001_1320-122617-0013.wav,20.276426315307617,19.987262725830078,19.917844772338867,19.829227447509766
1089-134691-0002_4507-16021-0036.wav,21.505142211914062,21.404359817504883,21.102048873901367,21.144968032836914
1089-134691-0002_8455-210777-0005.wav,20.296524047851562,19.887741088867188,19.841182708740234,19.777385711669922
1089-134691-0005_908-157963-0011.wav,18.137500762939453,18.067880630493164,17.806961059570312,17.819639205932617
1089-134691-0006_4446-2275-0012.wav,19.050323486328125,18.789794921875,18.519634246826172,18.387636184692383
1089-134691-0006_4446-2275-0026.wav,20.084373474121094,19.970855712890625,19.482311248779297,19.49430274963379
1089-134691-0012_1320-122612-0015.wav,21.163002014160156,21.096302032470703,19.833099365234375,19.80528450012207
1089-134691-0013_4992-23283-0007.wav,19.24181365966797,19.036190032958984,18.838184356689453,18.821043014526367
1089-134691-0014_237-134500-0012.wav,22.28617286682129,22.059263229370117,21.98739242553711,21.85892105102539
1089-134691-0014_2830-3980-0041.wav,17.073204040527344,16.875093460083008,13.331937789916992,13.254329681396484
1089-134691-0014_7127-75947-0023.wav,19.86484146118164,19.573436737060547,19.51622772216797,19.405031204223633
1089-134691-0015_3575-170457-0015.wav,22.629791259765625,22.281497955322266,22.04100799560547,21.917844772338867
1089-134691-0015_5683-32879-0011.wav,21.014585494995117,20.90591812133789,20.343441009521484,20.32305145263672
1089-134691-0015_672-122797-0050.wav,21.434242248535156,21.402292251586914,20.953563690185547,20.99302101135254
1089-134691-0016_260-123286-0009.wav,18.90070343017578,18.769054412841797,18.66042709350586,18.66474723815918
1089-134691-0017_5142-36586-0004.wav,20.16473388671875,19.986677169799805,19.7723388671875,19.901525497436523
1089-134691-0018_4970-29095-0024.wav,23.52407455444336,22.85333251953125,22.994707107543945,22.764915466308594
1089-134691-0019_2830-3980-0011.wav,20.20416259765625,19.99863624572754,18.377567291259766,18.43665313720703
1089-134691-0019_672-122797-0023.wav,20.26068115234375,18.90230369567871,19.129945755004883,19.257341384887695
1089-134691-0020_7021-85628-0000.wav,24.679569244384766,24.52512550354004,24.099510192871094,24.1391544342041
1089-134691-0020_908-31957-0004.wav,21.888662338256836,21.63685417175293,21.41584587097168,21.376277923583984
1089-134691-0022_2830-3979-0000.wav,20.862733840942383,20.65131950378418,20.05655860900879,19.942113876342773
1089-134691-0023_1580-141083-0000.wav,19.636058807373047,19.448057174682617,19.32801628112793,19.348052978515625
1089-134691-0023_8224-274381-0011.wav,19.42228889465332,19.222776412963867,19.129018783569336,19.141530990600586
1089-134691-0025_4970-29095-0012.wav,21.554588317871094,21.34758186340332,21.208330154418945,21.109752655029297
1089-134691-0025_5105-28233-0004.wav,18.510440826416016,18.375185012817383,17.465410232543945,17.516185760498047
1089-134691-0025_8224-274384-0005.wav,19.096376419067383,18.930492401123047,18.87363052368164,18.87814712524414
1188-133604-0001_1995-1826-0012.wav,22.347820281982422,22.14739990234375,22.054431915283203,21.963590621948242
1188-133604-0003_672-122797-0056.wav,18.454368591308594,18.337696075439453,17.579315185546875,17.692405700683594
1188-133604-0003_8230-279154-0014.wav,19.277482986450195,19.223419189453125,18.729225158691406,18.737895965576172
